countyName,metro,pop-1998,pop-1999,pop-2000,pop-2001,pop-2002,pop-2003,pop-2004,pop-2005,pop-2006,pop-2007,pop-2008,pop-2009,pop-2010,collOrByond-1998,collOrByond-1999,collOrByond-2000,collOrByond-2001,collOrByond-2002,collOrByond-2003,collOrByond-2004,collOrByond-2005,collOrByond-2006,collOrByond-2007,collOrByond-2008,collOrByond-2009,collOrByond-2010,collOrByond,rank
Steele County,,1052,1052,1052,1219,1219,1219,1222,1222,1222,1232,1232,1232,1140,,,,80.09909339,80.09909339,80.09909339,84.13752804,84.13752804,84.13752804,83.90489642,83.90489642,83.90489642,88.90558599,84.26177596,25
Stevens County,,17,17,17,240,240,240,241,241,241,218,218,218,197,,,,82.05636956,82.05636956,82.05636956,83.44827586,83.44827586,83.44827586,82.23684211,82.23684211,82.23684211,93.4375,85.29474688,16
Swift County,,351,351,351,314,314,314,148,148,148,312,312,312,289,77.90102568,77.90102568,77.90102568,85.10964912,85.10964912,85.10964912,78.12587412,78.12587412,78.12587412,82.47787611,82.47787611,82.47787611,80.15482055,80.75384912,63
Todd County,,815,815,815,902,902,902,813,813,813,772,772,772,697,73.22743942,73.22743942,73.22743942,79.00157792,79.00157792,79.00157792,79.86794718,79.86794718,79.86794718,82.64063553,82.64063553,82.64063553,87.45283019,80.43808605,68
Traverse County,,138,138,138,142,142,142,124,124,124,118,118,118,105,79.69971001,79.69971001,79.69971001,86.43127083,86.43127083,86.43127083,86.95736434,86.95736434,86.95736434,87.5331565,87.5331565,87.5331565,84.3495935,84.99421904,19
Wabasha County,RochesterMN,842,842,842,847,847,847,863,863,863,902,902,902,893,73.07056741,73.07056741,73.07056741,78.39528828,78.39528828,78.39528828,83.04629112,83.04629112,83.04629112,79.08644204,79.08644204,79.08644204,87.33197653,80.18611308,72
Wadena County,,534,534,534,592,592,592,606,606,606,537,537,537,450,73.84761784,73.84761784,73.84761784,76.31441475,76.31441475,76.31441475,79.24333602,79.24333602,79.24333602,82.40104841,82.40104841,82.40104841,84.85915493,79.33311439,77
Waseca County,,869,869,869,775,775,775,570,570,570,597,597,597,441,75.78425369,75.78425369,75.78425369,81.02882058,81.02882058,81.02882058,82.10635383,82.10635383,82.10635383,83.20824018,83.20824018,83.20824018,87.60991207,81.94751607,49
Washington County,MinneapolisStPaulBloomingtonMNWI,5944,5944,5944,5607,5607,5607,6068,6068,6068,6703,6703,6703,6551,84.74147364,84.74147364,84.74147364,86.56979646,86.56979646,86.56979646,88.0820784,88.0820784,88.0820784,89.79356647,89.79356647,89.79356647,93.03266986,88.44391697,3
Watonwan County,,475,475,475,390,390,390,421,421,421,378,378,378,363,76.05530623,76.05530623,76.05530623,77.42362021,77.42362021,77.42362021,81.80489101,81.80489101,81.80489101,79.78014185,79.78014185,79.78014185,79.1005291,78.83289768,79
Wilkin County,,297,297,297,290,290,290,296,296,296,262,262,262,215,81.9108964,81.9108964,81.9108964,84.73307699,84.73307699,84.73307699,82.61982571,82.61982571,82.61982571,89.38106796,89.38106796,89.38106796,88.54800937,85.43857528,15
Winona County,,1190,1190,1190,1192,1192,1192,539,539,539,1130,1130,1130,1014,76.80908882,76.80908882,76.80908882,80.06410601,80.06410601,80.06410601,84.12286072,84.12286072,84.12286072,81.39952154,81.39952154,81.39952154,83.97121862,81.27335914,61
Wright County,MinneapolisStPaulBloomingtonMNWI,3240,3240,3240,2175,2175,2175,2656,2656,2656,2518,2518,2518,2916,74.83426759,74.83426759,74.83426759,81.80711009,81.80711009,81.80711009,82.84211315,82.84211315,82.84211315,84.66636564,84.66636564,84.66636564,88.12257,82.45448529,43
Yellow Medicine County,,296,296,296,438,438,438,394,394,394,363,363,363,314,77.84503007,77.84503007,77.84503007,80.04408008,80.04408008,80.04408008,81.43263646,81.43263646,81.43263646,81.4764268,81.4764268,81.4764268,88.69479734,81.89859415,51
Statewide,,28125,28125,28125,28996,28996,28996,28168,28168,28168,27733,27733,27733,28604,78.41103667,78.41103667,78.41103667,82.23922317,82.23922317,82.23922317,83.72854166,83.72854166,83.72854166,85.46626948,85.46626948,85.46626948,86.85057011,,
